train/actions/0	train/actions/1	train/actions/2	train/actions/3	train/actions/4	train/actions/5	train/actions/6	train/actions/7	train/actions/8	train/actions/9	train/actions/10	train/actions/11	epoch	learning_rate	train/return/avg	train/return/std	train/return/max	train/return/min	train/ep_length	total_env_steps	current_task_steps	buffer_capacity	train/loss_kl	train/loss_pi	train/loss_q1	train/loss_q2	train/episodes	train/alpha/0	train/loss_reg	train/distance	train/movement	train/success	walltime
62	75	87	98	75	60	107	89	76	80	94	97	14	0.00097570004	61.92802449544271	41.64644896963165	131.5216613769532	11.377752685546877	66.33333333333333	14000	14000	27.094800000000003	0.0	12.968489	0.6794216	0.70031375	272.0	0.807743803858757	0.0	36918.06278483073	2.7319636602949258	0.19161869257217798	690.7969346046448
77	72	108	91	69	71	86	81	76	75	111	83	15	0.0009730001	51.38472630427434	43.93251291646128	153.83384399414064	5.024609375	74.76923076923077	15000	15000	29.190769230769227	0.0	13.345822	0.64329576	0.6562249	286.0	0.7142531716823578	0.0	23500.651756873496	1.6204115894427105	0.09012924348729602	758.8072497844696
79	66	90	84	83	64	104	82	72	72	102	102	16	0.00097030005	40.337709336053756	38.090037895717266	133.42845001220707	5.3822265625000005	50.142857142857146	16000	16000	31.132095238095243	0.0	13.519741	0.68084013	0.70019996	303.0	0.6331884676218033	0.0	15465.715978713262	0.987955034446584	0.057075651438506965	842.189380645752
74	52	97	93	56	59	107	94	103	54	110	101	17	0.00096760003	42.384540922745416	41.437661818879874	183.54148712158207	6.994070434570313	42.391304347826086	17000	17000	32.941391304347825	0.0	13.502451	0.7451188	0.7869051	325.0	0.5624351400136948	0.0	22632.22134996497	1.3638639889663862	0.09065359511359479	916.7044768333435
61	88	114	72	43	46	95	97	106	46	158	74	18	0.0009649001	33.1922655923026	23.875084842516916	95.48913574218751	4.555987548828126	31.214285714285715	18000	18000	34.84342857142857	0.0	13.390921	0.8115314	0.86931455	350.5	0.5005217012763024	0.0	8801.125407082694	0.5046445819623223	0.013373010685679676	991.9849166870117
64	61	130	55	30	67	108	110	66	78	149	82	19	0.00096220005	46.23404954274496	40.72338591894815	180.91327819824218	5.002064514160156	45.083333333333336	19000	19000	37.139	0.0	13.078469	0.7087515	0.72174704	376.5	0.44617016077041627	0.0	19292.553499857586	1.0537957585719078	0.08277382004566682	1077.4125006198883
60	72	101	84	62	36	44	71	96	65	172	137	20	0.00095950003	31.080798767089846	28.872445996516092	139.37035522460945	5.287094116210938	41.96	20000	20000	39.06024	0.0	12.720399	0.79143876	0.8111664	401.0	0.3981933715939522	0.0	11438.426334228516	0.5886634008901914	0.031362076406625604	1154.731380701065
100	63	156	48	42	43	130	75	77	59	102	105	21	0.00095680007	51.67342662811279	69.65513181764922	342.2810379028318	4.911053466796876	38.75	21000	21000	40.96283333333333	0.0	12.294369	0.74774605	0.75527364	425.5	0.3558121261000633	0.0	22089.856947580975	1.0835683046097253	0.0738753009845049	1234.6248145103455
52	33	156	62	43	45	142	113	51	50	174	79	22	0.00095410005	83.94767539978027	62.404161353598845	243.04923095703117	12.903887939453126	53.8	22000	22000	42.9791	0.0	11.632234	0.79637647	0.8176784	447.5	0.3182049953937531	0.0	35045.13157806396	1.6287872949228865	0.16208585463303787	1318.6859738826752
106	78	178	32	34	39	97	108	68	28	130	102	23	0.0009514	69.0189490276834	76.4315996726327	338.46982574462896	5.407577514648438	43.608695652173914	23000	23000	45.0368695652174	0.0	11.016789	0.83084	0.84656274	469.0	0.28478813529014585	0.0	29868.054166710896	1.3236440861932746	0.105466473092682	1405.5864531993866
123	71	254	69	26	47	91	82	56	24	103	54	24	0.00094870006	90.15385019402754	84.28480804103039	285.8591918945312	12.101936340332033	51.63157894736842	24000	24000	47.107052631578945	0.0	10.119712	0.7269265	0.7514614	490.0	0.2550067649781704	0.0	38574.54494275545	1.645400389114297	0.19015720006039266	1487.0287199020386
41	37	200	45	27	30	179	56	64	35	226	60	25	0.00094600004	77.08916816711425	76.13262499241043	291.2133361816405	10.363973999023438	42.958333333333336	25000	25000	49.10483333333334	0.0	9.227749	0.7143683	0.7169982	511.5	0.22846255898475648	0.0	29973.86040178935	1.225893739962684	0.15346479499523458	1574.0143375396729
40	35	198	53	21	68	132	75	86	34	203	55	26	0.0009433	43.25855246878959	39.74437722282984	198.01061248779297	11.7248046875	26.91891891891892	26000	26000	50.93654054054054	0.0	8.43129	0.6709331	0.65073884	542.0	0.20484818860888482	0.0	10166.682496766787	0.39774736442845354	0.02677963026843795	1658.4029512405396
52	80	260	49	12	26	137	74	56	16	186	52	27	0.00094060006	58.20042399744832	61.82152907800736	198.9850601196289	6.98509979248047	32.32258064516129	27000	27000	52.96412903225806	0.0	7.283151	0.6610398	0.65947515	576.0	0.18381361097097396	0.0	18937.622964182206	0.7134775869079948	0.0885485370948356	1741.9157445430756
10	36	364	39	30	20	111	73	35	18	194	70	28	0.00093790004	95.19318931579589	106.18066628963665	437.3989654541015	14.389743041992189	49.55	28000	28000	54.7577	0.0	6.283547	0.6491011	0.64917314	601.5	0.16498013645410536	0.0	45099.62037353516	1.6347215899825855	0.16608533267681416	1821.9084849357605
17	31	244	50	22	27	161	84	29	34	251	50	29	0.0009352	87.0970137914022	86.74306393951184	311.42140045166025	6.363278198242187	41.458333333333336	29000	29000	56.89908333333333	0.0	5.169839	0.63264865	0.64446074	623.5	0.14822437539696692	0.0	32140.714656829834	1.1251187157270681	0.1669026789249518	1906.6152424812317
18	28	365	84	21	22	141	69	15	29	187	21	30	0.00093250006	112.03278945922852	126.04535019758056	542.5185226440432	8.8021484375	49.2	30000	30000	59.00880000000001	0.0	4.1401157	0.6117952	0.6153508	645.5	0.13331744611263274	0.0	59277.14362182617	2.0058912499824624	0.1952175195019062	1991.8587024211884
7	14	530	37	14	13	149	40	23	10	140	23	31	0.00092980004	126.31649536132811	110.24627781847539	355.1048858642577	8.748973083496097	50.05	31000	31000	61.07090000000001	0.0	2.9965134	0.6248525	0.6438498	665.5	0.12004018500447274	0.0	51184.535340881346	1.6799824942867079	0.237234419408945	2076.3356409072876
8	12	531	39	13	15	118	54	6	14	174	16	32	0.0009271001	157.92887411117556	172.9293144948357	488.3087951660158	6.997782897949218	61.875	32000	32000	63.031	0.0	1.9681041	0.58606917	0.6152571	683.5	0.10820809915661812	0.0	103234.97402381897	3.2759589229849935	0.33753481825315035	2151.1551954746246
5	4	482	21	9	4	179	32	39	19	193	13	33	0.00092440005	67.30246586269801	80.69293630432298	310.62237701416007	8.119378662109375	29.11111111111111	33000	33000	64.8775	0.0	0.7886996	0.62749064	0.62075436	709.5	0.09763147309422493	0.0	21567.250106811523	0.6620498792778865	0.1008647628816784	2240.3388249874115
3	1	638	5	15	2	142	24	11	9	134	16	34	0.00092170003	162.40264012953816	140.9944012339352	516.9395889282227	23.716078186035155	57.88235294117647	34000	34000	67.04211764705883	0.0	-0.24264641	0.6286091	0.63690805	736.0	0.08816371373832226	0.0	77861.19804472082	2.317678245828469	0.3041124611349667	2319.9276390075684
2	0	660	8	2	3	142	28	9	7	120	19	35	0.000919	150.6722452500287	102.84291194642519	337.83983764648434	8.112908935546876	55.529411764705884	35000	35000	68.87929411764706	0.0	-1.3540219	0.6570243	0.6615349	753.0	0.07968859307467938	0.0	57688.004875631894	1.6686934568381386	0.27590663774585295	2405.706494808197
1	3	640	4	5	2	154	15	12	11	149	4	36	0.00091630005	232.89442467322718	152.5872311659479	608.0254592895508	79.07272338867189	81.23076923076923	36000	36000	71.10707692307692	0.0	-2.609778	0.6629818	0.6756675	768.0	0.07209391079843044	0.0	127589.45239962064	3.603515694297738	0.4465167934620874	2481.393547296524
0	0	770	0	4	6	88	11	3	0	111	7	37	0.00091360003	183.82184505462646	180.2012660982852	797.8791259765625	8.698553466796875	62.125	37000	37000	73.093375	0.0	-3.5234072	0.72743917	0.73028517	782.5	0.06527491204440594	0.0	105884.78502368927	2.895426239953761	0.29348596203143784	2558.527976036072
3	8	616	10	9	6	141	14	7	3	176	7	38	0.00091090007	96.09709214430588	85.52412045125658	301.702033996582	8.698553466796875	36.46153846153846	38000	38000	75.04876923076924	0.0	-4.7421813	0.78738284	0.76320535	803.5	0.05915329463779926	0.0	28811.17264204759	0.7685800432746586	0.1392680571290868	2635.3705167770386
0	2	814	0	0	1	62	16	1	2	101	1	39	0.00090820005	136.33266238257994	126.20469156700337	425.2614089965816	15.331690979003909	47.904761904761905	39000	39000	77.04361904761905	0.0	-5.780952	0.8291369	0.8140122	827.0	0.053652149140834805	0.0	56532.03520783924	1.4720644978300033	0.27964275128710403	2720.3837270736694
0	0	771	0	7	0	96	4	11	1	98	12	40	0.0009055	139.52563407897944	95.40497291141992	337.7581542968748	16.348973083496094	48.35	40000	40000	78.7544	0.0	-6.9348717	0.8900536	0.8892231	847.5	0.048701812066137794	0.0	47494.353779602054	1.2019949868823876	0.23478012369009163	2807.668964624405
0	0	869	0	1	0	49	8	1	2	65	5	41	0.00090280006	251.81676189716038	167.37941208925082	593.0795257568359	24.163629150390626	82.15384615384616	41000	41000	80.97369230769232	0.0	-8.139364	0.90324384	0.935868	864.0	0.044243494383990764	0.0	145420.51440899188	3.5916289730003963	0.5209287416446844	2890.0184910297394
1	0	815	2	3	1	77	6	11	0	80	4	42	0.00090010004	168.09335996839735	110.93255459464451	420.63941345214835	21.69360809326172	56.666666666666664	42000	42000	82.95355555555555	0.0	-9.215499	1.0002635	1.0196681	879.5	0.04022235129028559	0.0	66248.6987830268	1.5945695698824263	0.3343087943052634	2971.2540662288666
0	0	876	0	3	0	49	8	5	1	54	4	43	0.0008974	210.96738924298958	179.9933239335669	655.0813980102533	8.698553466796875	69.35714285714286	43000	43000	84.87057142857142	0.0	-10.312141	1.0276531	1.0296773	895.5	0.03659157443791628	0.0	122391.44229016986	2.869461212064901	0.36888194167587784	3062.2103221416473
0	0	852	2	1	0	40	35	10	4	37	19	44	0.00089470006	368.0118565150668	275.56350677361377	813.5540176391595	21.36339874267578	118.14285714285714	44000	44000	87.00885714285717	0.0	-11.502605	1.1761456	1.1998271	906.0	0.03330825489014387	0.0	332219.32384381973	7.653903774672649	0.6973350237835894	3162.3225576877594
0	0	777	9	2	3	64	33	6	8	89	9	45	0.00089200004	189.43523174085107	219.23018177415952	803.897276306152	11.124700927734375	63.31578947368421	45000	45000	89.17242105263158	0.0	-12.543204	1.3164947	1.3115817	919.0	0.030341168120503425	0.0	133306.2014352899	3.0093985053790777	0.24502248065037283	3248.7805807590485
0	0	778	3	3	4	84	12	2	1	86	27	46	0.0008893	175.39410965863397	112.44281578515759	470.9408645629882	18.63155975341797	59.05882352941177	46000	46000	90.9725882352941	0.0	-13.828871	1.2709212	1.3536081	937.0	0.027655787505209445	0.0	71169.91950899012	1.563052934369284	0.33102492051620824	3336.9218072891235
0	0	752	1	0	1	89	29	8	5	101	14	47	0.00088660006	204.58663646153042	107.67323747119268	322.56806030273447	7.8387451171875	68.21428571428571	47000	47000	93.18857142857142	0.0	-15.019805	1.4635873	1.4824121	952.5	0.02522228443995118	0.0	87520.12652805874	1.8833483629262815	0.5323720173678554	3420.676032781601
1	0	802	3	0	0	58	33	1	1	79	22	48	0.00088390004	164.4945880466037	112.70950763472395	381.9233367919919	30.647508239746095	56.27777777777778	48000	48000	94.9098888888889	0.0	-16.09275	1.56495	1.4986756	968.5	0.023015498630702496	0.0	65430.33548143175	1.3771320319453146	0.32645729337512935	3882.4085993766785
0	1	827	0	0	0	56	20	6	3	72	15	49	0.0008812001	162.7023104349772	148.21959986416775	576.5721679687497	26.17562561035156	55.333333333333336	49000	49000	97.10777777777778	0.0	-17.250038	1.9639311	1.8151867	986.5	0.021012704856693744	0.0	77893.67343224419	1.607220514083952	0.33777914593036357	3985.6498670578003
0	0	833	3	3	4	52	22	3	1	57	22	50	0.00087850005	399.9491523742675	157.096499097677	792.9101852416989	288.3162506103515	127.875	50000	50000	99.04325	0.0	-18.434006	1.928717	1.8942993	999.5	0.019194467272609473	0.0	297016.007982254	5.990484528089145	0.9850318345289963	4085.4094166755676
0	0	850	1	2	3	46	27	10	5	46	10	51	0.00087580003	264.27883063422297	147.85118420869642	625.681669616699	79.37691192626954	86.66666666666667	51000	51000	100.0	0.0	-19.672827	1.9539075	2.056834	1008.0	0.01754162337630987	0.0	146665.18406507705	2.9069198521581425	0.5882325338901617	4194.6890778541565
